ma_don,lay_lat,lay_lon,giao_lat,giao_lon,khoi_luong_tan,khung_gio_bat_dau_h,khung_gio_ket_thuc_h
DH001,10.780434,106.708744,10.933656,106.465006,1.04,2.0,5.3
DH002,10.767431,106.694877,10.602163,106.703153,0.38,2.0,4.8
DH003,10.76703,106.707016,10.939931,106.776965,0.9,5.3,8.8
DH004,10.768755,106.692834,10.968884,106.65415,0.72,8.6,10.9
DH005,10.786362,106.698471,11.058497,106.812236,2.48,6.6,9.4
DH006,10.780991,106.691816,10.881224,106.947643,1.97,7.8,10.7
DH007,10.772459,106.703614,10.686739,106.623633,0.52,2.1,3.9
DH008,10.779861,106.703083,10.768899,106.672109,0.87,2.4,6.2
DH009,10.7797,106.702039,10.652683,106.887476,0.74,3.4,7.4
DH010,10.773209,106.696255,10.960769,106.955711,2.4,2.1,3.7
DH011,10.774813,106.709191,10.67659,107.015746,2.67,2.8,5.9
DH012,10.778592,106.708856,10.825311,106.608928,0.97,5.1,7.3
DH013,10.767842,106.693093,10.78964,106.581592,2.99,4.6,6.3
DH014,10.786822,106.701482,10.926468,106.925248,1.44,0.6,3.1
DH015,10.777639,106.696237,11.132647,106.966468,0.33,6.5,9.7
DH016,10.784417,106.696168,10.934577,106.516931,1.47,4.1,8.0
DH017,10.779679,106.703079,10.850352,106.557191,2.76,7.8,10.0
DH018,10.766911,106.697383,10.641704,106.907506,1.76,7.0,9.8
DH019,10.768059,106.70846,10.561686,107.007459,2.67,7.5,9.8
DH020,10.782217,106.693468,11.11817,106.501392,1.61,0.6,4.0
DH021,10.771136,106.701686,10.835169,106.779882,1.02,7.9,10.5
DH022,10.775662,106.701252,10.987959,106.570691,1.14,9.0,12.1
DH023,10.771304,106.69232,10.622603,106.584818,1.21,5.3,7.4
DH024,10.77166,106.70428,10.928662,106.587365,2.74,7.7,9.4
DH025,10.782592,106.70705,10.678542,106.529387,2.83,5.1,7.8
DH026,10.781482,106.704367,10.664246,106.508158,1.46,3.8,6.5
DH027,10.771873,106.694704,11.140499,106.509051,1.39,3.1,6.8
DH028,10.775763,106.708127,10.819168,106.703129,1.05,2.2,6.0
DH029,10.785427,106.707874,10.880195,106.480353,3.0,7.5,11.4
DH030,10.774479,106.710606,10.649787,106.741385,0.88,3.6,5.2
DH031,10.786808,106.702015,10.709122,106.920442,1.53,3.8,7.7
DH032,10.777744,106.70586,10.981045,106.542878,1.1,8.7,11.6
DH033,10.786116,106.692502,10.584299,106.800507,1.66,7.7,9.6
DH034,10.784706,106.695824,10.661495,106.807021,2.12,2.1,3.9
DH035,10.785594,106.694985,10.906711,106.821629,1.43,5.3,8.1
DH036,10.773224,106.705937,10.979715,106.593212,1.37,6.0,8.2
DH037,10.771163,106.696204,10.593526,106.724971,3.0,9.0,10.7
DH038,10.783575,106.704971,11.109956,106.978519,2.67,3.3,5.2
DH039,10.772888,106.704168,10.917007,107.04234,2.07,0.1,3.6
DH040,10.772347,106.702997,11.113358,106.530575,0.61,1.0,3.9
DH041,10.785007,106.707822,10.980567,106.572158,2.01,2.4,5.1
DH042,10.779642,106.696139,10.605379,106.704145,1.05,0.0,3.4
DH043,10.784562,106.708979,10.994739,106.781008,1.45,0.1,1.8
